Orangutan 89
Greater 199
Capuchin 145
Crab-eating 84
Coquerel's 120
Sooty 35
Chimpanzee 32
Bushbaby 73
Ma's 129
Marmoset 95
Gibbon 72
Bolivian 58
Tarsier 1512
Gorilla 86
Angola 47
Vervet-AGM 38
Mouse 115
Golden 352
Ugandan 127
Pig-tailed 48
Olive 30
Drill 162
Black 331
Bonobo 38
Macaque 39
Gelada 52
